Country,latitude,longitude,MPASKM,totalMPASKM,PASKM%,CO2,totalCO2,CO2%,Type,,,
Australia,-25.274398,133.775136,17814,321360,5.543315907,730374,51155437,1.427754395,Rail,,,
Australia,-25.274398,133.775136,281437,321360,87.57686084,48125727,51155437,94.07744283,Cars,,,
Australia,-25.274398,133.775136,22109,321360,6.879823251,2299336,51155437,4.494802771,Buses,,,
Czechia,49.817492,15.472962,10931,102657,10.6480805,448171,15426668,2.905170449,Rail,,,
Czechia,49.817492,15.472962,81179,102657,79.07790019,13881609,15426668,89.98449309,Cars,,,
Czechia,49.817492,15.472962,10547,102657,10.27401931,1096888,15426668,7.110336464,Buses,,, 
Finland,61.92411,25.748151,4924,79624,6.184065106,201884,12446284,1.62204237,Rail,,,
Finland,61.92411,25.748151,66800,79624,83.89430323,11422800,12446284,91.77679057,Cars,,,
Finland,61.92411,25.748151,7900,79624,9.921631669,821600,12446284,6.601167063,Buses,,,
France,46.227638,2.213749,112309,1018651,11.02526773,4604669,155505032,2.961106107,Rail,,,
France,46.227638,2.213749,845385,1018651,82.99064154,144560835,155505032,92.96215894,Cars,,,
France,46.227638,2.213749,60957,1018651,5.984090724,6339528,155505032,4.076734957,Buses,,,
Germany,51.165691,10.451526,102026,1083478,9.416527147,4183066,166728274,2.508912196,Rail,,,
Germany,51.165691,10.451526,902600,1083478,83.30579855,154344600,166728274,92.57254112,Cars,,,
Germany,51.165691,10.451526,78852,1083478,7.277674304,8200608,166728274,4.918546689,Buses,,,
Hungary,47.162494,19.503304,7752,93508,8.290199769,317832,13727734,2.315254652,Rail,,,
Hungary,47.162494,19.503304,67034,93508,71.68798392,11462814,13727734,83.50113719,Cars,,,
Hungary,47.162494,19.503304,18722,93508,20.02181632,1947088,13727734,14.18360816,Buses,,,
Italy,41.87194,12.56738,56586,893308,6.334433365,2320026,138411857,1.676175763,Rail,,,
Italy,41.87194,12.56738,732429,893308,81.990646,125245359,138411857,90.48744935,Cars,,,
Italy,41.87194,12.56738,104293,893308,11.67492063,10846472,138411857,7.836374885,Buses,,,
Japan,36.204824,138.252924,435063,1340406,32.45755391,17837583,168544069,10.58333474,Rail,,,
Japan,36.204824,138.252924,844042,1340406,62.96913025,144331182,168544069,85.63409134,Cars,,,
Japan,36.204824,138.252924,61301,1340406,4.573315846,6375304,168544069,3.782573921,Buses,,,
South Korea,35.907757,127.766922,100381,488338,20.55563974,4115621,63832782,6.447503729,Rail,,,
South Korea,35.907757,127.766922,289099,488338,59.20059467,49435929,63832782,77.44598849,Cars,,,
South Korea,35.907757,127.766922,98858,488338,20.24376559,10281232,63832782,16.10650778,Buses,,,
New Zealand,-40.900557,174.885971,773,52279,1.478605176,31693,8760762,0.361760769,Rail,,,
New Zealand,-40.900557,174.885971,50335,52279,96.2814897,8607285,8760762,98.24813184,Cars,,,
New Zealand,-40.900557,174.885971,1171,52279,2.239905124,121784,8760762,1.39010739,Buses,,,
Norway,60.472024,8.468946,3715,66356,5.598589427,152315,10413887,1.462614296,Rail,,,
Norway,60.472024,8.468946,55924,66356,84.27873892,9563004,10413887,91.82934288,Cars,,,
Norway,60.472024,8.468946,6717,66356,10.12267165,698568,10413887,6.708042828,Buses,,,
Poland,51.919438,19.145136,22056,290547,7.59119867,904296,44388445,2.037232888,Rail,,,
Poland,51.919438,19.145136,232255,290547,79.93715303,39715605,44388445,89.47284592,Cars,,,
Poland,51.919438,19.145136,36236,290547,12.4716483,3768544,44388445,8.489921195,Buses,,,
Slovakia,48.669026,19.699024,4093,38896,10.52293295,167813,5704597,2.941715252,Rail,,,
Slovakia,48.669026,19.699024,28616,38896,73.5705471,4893336,5704597,85.77882013,Cars,,,
Slovakia,48.669026,19.699024,6187,38896,15.90651995,643448,5704597,11.27946461,Buses,,,
Spain,40.463667,-3.74922,28835,404090,7.135786582,1182235,63123090,1.872904194,Rail,,,
Spain,40.463667,-3.74922,342005,404090,84.63584845,58482855,63123090,92.64891025,Cars,,,
Spain,40.463667,-3.74922,33250,404090,8.228364968,3458000,63123090,5.478185558,Buses,,,
Sweden,60.128161,18.643501,14617,121109,12.06929295,599297,18081072,3.314499273,Rail,,,
Sweden,60.128161,18.643501,95621,121109,78.95449554,16351191,18081072,90.43264138,Cars,,,
Sweden,60.128161,18.643501,10871,121109,8.976211512,1130584,18081072,6.252859344,Buses,,,
Switzerland,46.818188,8.227512,21737,127303,17.07501002,891217,18426165,4.836692822,Rail,,,
Switzerland,46.818188,8.227512,97852,127303,76.86543129,16732692,18426165,90.80941151,Cars,,,
Switzerland,46.818188,8.227512,7714,127303,6.059558691,802256,18426165,4.35389567,Buses,,,
United Kingdom,55.378051,-3.435973,70959,841153,8.435920695,2909319,132425680,2.196944732,Rail,,,
United Kingdom,55.378051,-3.435973,737555,841153,87.6838102,126121905,132425680,95.23976392,Cars,,,
United Kingdom,55.378051,-3.435973,32639,841153,3.880269107,3394456,132425680,2.56329135,Buses,,,
United States of America,37.09024,-95.712891,33151,6707216,0.494258721,1359191,1101523625,0.123391906,Rail,,,
United States of America,37.09024,-95.712891,6060622,6707216,90.359726,1036366362,1101523625,94.08480567,Cars,,,
United States of America,37.09024,-95.712891,613443,6707216,9.146015277,63798072,1101523625,5.791802423,Buses,,,
Azerbaijan,40.143105,47.576927,544,26494,2.053295086,22304,2824954,0.78953498,Rail,,,
Azerbaijan,40.143105,47.576927,1550,26494,5.850381218,265050,2824954,9.382453661,Cars,,,
Azerbaijan,40.143105,47.576927,24400,26494,92.0963237,2537600,2824954,89.82801136,Buses,,,
Croatia,45.1,15.2,734,30128,2.436271907,30094,4786994,0.628661745,Rail,,,
Croatia,45.1,15.2,25372,30128,84.21402018,4338612,4786994,90.63332856,Cars,,,
Croatia,45.1,15.2,4022,30128,13.34970791,418288,4786994,8.738009699,Buses,,,
Kazakhstan,41.20438,74.766098,17700,278281,6.360477359,725700,33132859,2.190272804,Rail,,,
Kazakhstan,41.20438,74.766098,79205,278281,28.46223781,13544055,33132859,40.87801478,Cars,,,
Kazakhstan,41.20438,74.766098,181376,278281,65.17728483,18863104,33132859,56.93171241,Buses,,,
North Macedonia,41.608635,21.745275,62,11793,0.525735606,2542,1872667,0.135742233,Rail,,,
North Macedonia,41.608635,21.745275,9703,11793,82.27762232,1659213,1872667,88.60160402,Cars,,,
North Macedonia,41.608635,21.745275,2028,11793,17.19664208,210912,1872667,11.26265374,Buses,,,
